production_budget,worldwide_gross,title_year,aspect_ratio,duration,cast_total_facebook_likes,budget,imdb_score
425000000,2783918982,2009.0,1.78,178.0,4834,237000000.0,7.9
306000000,2058662225,2002.130733382389,2.126976154236567,108.5771861260381,143,40455386.33009198,7.1
300000000,963420425,2007.0,2.35,169.0,48350,300000000.0,7.1
300000000,879620923,2015.0,2.35,148.0,11700,245000000.0,6.8
275000000,1084439099,2012.0,2.35,164.0,106759,250000000.0,8.5
275000000,260002115,2013.0,2.35,150.0,45757,215000000.0,6.5
275000000,282778100,2012.0,2.35,132.0,1873,263700000.0,6.6
260000000,586581936,2010.0,1.85,100.0,2036,260000000.0,7.8
258000000,890875303,2007.0,2.35,156.0,46055,258000000.0,6.2
258000000,890875303,2007.0,2.35,156.0,46055,258000000.0,6.2
250000000,1404705868,2015.0,2.35,141.0,92000,250000000.0,7.5
250000000,1150864745,2016.0,2.35,147.0,64798,250000000.0,8.2
250000000,868160194,2016.0,2.35,183.0,24450,250000000.0,6.9
250000000,1017003568,2012.0,2.35,182.0,9152,180000000.0,7.9
250000000,935083686,2009.0,2.35,153.0,58753,250000000.0,7.5
250000000,960366855,2013.0,2.35,186.0,9152,225000000.0,7.9
250000000,955119788,2014.0,2.35,164.0,9152,250000000.0,7.5
250000000,1045663875,2011.0,2.35,136.0,54083,250000000.0,6.7
232000000,374085065,2006.0,2.35,169.0,29991,209000000.0,6.1
230000000,591692078,2008.0,2.35,106.0,2023,200000000.0,6.7
225000000,1066215812,2006.0,2.35,151.0,48486,225000000.0,7.3
225000000,667999518,2013.0,2.35,143.0,20495,225000000.0,7.2
225000000,417341288,2008.0,2.35,150.0,22697,225000000.0,6.6
220000000,757890267,2012.0,2.35,153.0,28489,230000000.0,7.0
215000000,1670328025,2015.0,2.0,124.0,8458,150000000.0,7.0
210000000,836519699,2009.0,2.35,150.0,3218,200000000.0,6.0
210000000,1104039076,2014.0,2.35,165.0,3988,210000000.0,5.7
210000000,459359555,2006.0,2.35,104.0,21714,210000000.0,6.8
210000000,322241588,2010.0,2.35,156.0,3244,200000000.0,6.7
209000000,305218228,2012.0,2.35,131.0,26679,209000000.0,5.9
200000000,2207615668,1997.0,2.35,194.0,45223,200000000.0,7.7
200000000,1069818229,2010.0,1.85,103.0,19085,200000000.0,8.3
200000000,1215392272,2013.0,2.35,195.0,30426,200000000.0,7.2
200000000,783705001,2004.0,2.35,135.0,43388,200000000.0,7.3
200000000,1110526981,2012.0,2.35,143.0,2039,200000000.0,7.8
200000000,1110526981,2012.0,2.35,143.0,2039,200000000.0,7.8
200000000,743588329,2013.0,1.85,104.0,14863,200000000.0,7.3
200000000,490359051,2013.0,2.35,130.0,73441,215000000.0,6.4
200000000,490359051,2013.0,2.35,130.0,73441,215000000.0,6.4
200000000,747862775,2014.0,2.35,149.0,91434,200000000.0,8.0
200000000,708996336,2014.0,2.35,142.0,28631,200000000.0,6.7
200000000,560155383,2011.0,2.35,106.0,4482,200000000.0,6.3
200000000,397562763,2010.0,2.35,125.0,25550,170000000.0,6.8
200000000,397562763,2010.0,2.35,125.0,25549,170000000.0,6.8
200000000,788408539,2009.0,2.35,158.0,2144,200000000.0,5.8
200000000,365491792,2009.0,2.35,118.0,27468,200000000.0,6.6
200000000,231201172,2011.0,2.35,123.0,17657,200000000.0,5.6
200000000,314594597,2010.0,2.35,116.0,16149,200000000.0,6.6
195000000,1123790543,2011.0,2.35,154.0,2593,195000000.0,6.3
195000000,197687603,2013.0,2.35,114.0,1766,195000000.0,6.3
190000000,1514019071,2015.0,2.35,140.0,79150,190000000.0,7.2
190000000,467381584,2013.0,2.35,132.0,21411,190000000.0,7.8
190000000,531514650,2013.0,2.35,123.0,32392,190000000.0,7.0
190000000,315709697,2009.0,2.35,96.0,48878,200000000.0,6.8
190000000,411002906,2013.0,1.85,131.0,19166,190000000.0,7.0
187500000,334354269,2015.0,2.35,93.0,696,40455386.33009198,6.8
186000000,582443126,2008.0,2.35,126.0,39252,140000000.0,7.9
