movie_title,country,language,genres,color,content_rating,plot_keywords,director_name,actor_1_name,actor_2_name,actor_3_name
Avatar ,USA,English,Action|Adventure|Fantasy|Sci-Fi,Color,PG-13,avatar|future|marine|native|paraplegic,James Cameron,CCH Pounder,Joel David Moore,Wes Studi
Star Wars: Episode VII - The Force Awakens             ,USA,English,Documentary,Color,R,based on novel,Doug Walker,Doug Walker,Rob Walker,Steve Coogan
Pirates of the Caribbean: At World's End ,USA,English,Action|Adventure|Fantasy,Color,PG-13,goddess|marriage ceremony|marriage proposal|pirate|singapore,Gore Verbinski,Johnny Depp,Orlando Bloom,Jack Davenport
Spectre ,UK,English,Action|Adventure|Thriller,Color,PG-13,bomb|espionage|sequel|spy|terrorist,Sam Mendes,Christoph Waltz,Rory Kinnear,Stephanie Sigman
The Dark Knight Rises ,USA,English,Action|Thriller,Color,PG-13,deception|imprisonment|lawlessness|police officer|terrorist plot,Christopher Nolan,Tom Hardy,Christian Bale,Joseph Gordon-Levitt
The Lone Ranger ,USA,English,Action|Adventure|Western,Color,PG-13,horse|outlaw|texas|texas ranger|train,Gore Verbinski,Johnny Depp,Ruth Wilson,Tom Wilkinson
John Carter ,USA,English,Action|Adventure|Sci-Fi,Color,PG-13,alien|american civil war|male nipple|mars|princess,Andrew Stanton,Daryl Sabara,Samantha Morton,Polly Walker
Tangled ,USA,English,Adventure|Animation|Comedy|Family|Fantasy|Musical|Romance,Color,PG,17th century|based on fairy tale|disney|flower|tower,Nathan Greno,Brad Garrett,Donna Murphy,M.C. Gainey
Spider-Man 3 ,USA,English,Action|Adventure|Romance,Color,PG-13,sandman|spider man|symbiote|venom|villain,Sam Raimi,J.K. Simmons,James Franco,Kirsten Dunst
Avengers: Age of Ultron ,USA,English,Action|Adventure|Sci-Fi,Color,PG-13,artificial intelligence|based on comic book|captain america|marvel cinematic universe|superhero,Joss Whedon,Chris Hemsworth,Robert Downey Jr.,Scarlett Johansson
Captain America: Civil War ,USA,English,Action|Adventure|Sci-Fi,Color,PG-13,based on comic book|knife|marvel cinematic universe|returning character killed off|superhero,Anthony Russo,Robert Downey Jr.,Scarlett Johansson,Chris Evans
Batman v Superman: Dawn of Justice ,USA,English,Action|Adventure|Sci-Fi,Color,PG-13,based on comic book|batman|sequel to a reboot|superhero|superman,Zack Snyder,Henry Cavill,Lauren Cohan,Alan D. Purwin
The Hobbit: An Unexpected Journey ,USA,English,Adventure|Fantasy,Color,PG-13,dragon|dwarf|hobbit|orc|wizard,Peter Jackson,Aidan Turner,Adam Brown,James Nesbitt
Harry Potter and the Half-Blood Prince ,UK,English,Adventure|Family|Fantasy|Mystery,Color,PG,blood|book|love|potion|professor,David Yates,Alan Rickman,Daniel Radcliffe,Rupert Grint
The Hobbit: The Desolation of Smaug ,USA,English,Adventure|Fantasy,Color,PG-13,dwarf|elf|lake town|mountain|sword and sorcery,Peter Jackson,Aidan Turner,Adam Brown,James Nesbitt
The Hobbit: The Battle of the Five Armies ,New Zealand,English,Adventure|Fantasy,Color,PG-13,army|elf|hobbit|middle earth|orc,Peter Jackson,Aidan Turner,Adam Brown,James Nesbitt
Pirates of the Caribbean: On Stranger Tides ,USA,English,Action|Adventure|Fantasy,Color,PG-13,blackbeard|captain|pirate|revenge|soldier,Rob Marshall,Johnny Depp,Sam Claflin,Stephen Graham
