movie_title,production_budget,budget,imdb_score,opening_gross,screens,duration,title_year,cast_total_facebook_likes,aspect_ratio,worldwide_gross
Avatar ,425000000,237000000.0,7.9,77025481.0,3452.0,178.0,2009.0,4834,1.78,2783918982
Pirates of the Caribbean: At World's End ,300000000,300000000.0,7.1,139802190.0,4362.0,169.0,2007.0,48350,2.35,963420425
Spectre ,300000000,245000000.0,6.8,70403148.0,3929.0,148.0,2015.0,11700,2.35,879620923
The Dark Knight Rises ,275000000,250000000.0,8.5,160887295.0,4404.0,164.0,2012.0,106759,2.35,1084439099
The Lone Ranger ,275000000,215000000.0,6.5,29210849.0,3904.0,150.0,2013.0,45757,2.35,260002115
John Carter ,275000000,263700000.0,6.6,30180188.0,3749.0,132.0,2012.0,1873,2.35,282778100
Tangled ,260000000,260000000.0,7.8,48767052.0,3603.0,100.0,2010.0,2036,1.85,586581936
Spider-Man 3 ,258000000,258000000.0,6.2,151116516.0,4252.0,156.0,2007.0,46055,2.35,890875303
Avengers: Age of Ultron ,250000000,250000000.0,7.5,191271109.0,4276.0,141.0,2015.0,92000,2.35,1404705868
Captain America: Civil War ,250000000,250000000.0,8.2,179139142.0,4226.0,147.0,2016.0,64798,2.35,1150864745
Batman v Superman: Dawn of Justice ,250000000,250000000.0,6.9,166007347.0,4242.0,183.0,2016.0,24450,2.35,868160194
The Hobbit: An Unexpected Journey ,250000000,180000000.0,7.9,84617303.0,4045.0,182.0,2012.0,9152,2.35,1017003568
Harry Potter and the Half-Blood Prince ,250000000,250000000.0,7.5,77835727.0,4325.0,153.0,2009.0,58753,2.35,935083686
The Hobbit: The Desolation of Smaug ,250000000,225000000.0,7.9,73645197.0,3903.0,186.0,2013.0,9152,2.35,960366855
The Hobbit: The Battle of the Five Armies ,250000000,250000000.0,7.5,54724334.0,3875.0,164.0,2014.0,9152,2.35,955119788
Pirates of the Caribbean: On Stranger Tides ,250000000,250000000.0,6.7,90151958.0,4155.0,136.0,2011.0,54083,2.35,1045663875
Superman Returns ,232000000,209000000.0,6.1,52535096.0,4065.0,169.0,2006.0,29991,2.35,374085065
Quantum of Solace ,230000000,200000000.0,6.7,67528882.0,3451.0,106.0,2008.0,2023,2.35,591692078
Pirates of the Caribbean: Dead Man's Chest ,225000000,225000000.0,7.3,135634554.0,2239.67397260274,151.0,2006.0,48486,2.35,1066215812
Man of Steel ,225000000,225000000.0,7.2,116619362.0,4207.0,143.0,2013.0,20495,2.35,667999518
